Número,Nombre,Como Origen,Como Destino,En Itinerario,Total Usos,Encontrada,Coordenadas,Notas
1,"C.P. LA RINCONADA",1,21,6,28,,,
2,"CUYO CUYO",0,1,8,9,,,
3,"CHACA CHACA",0,3,4,7,,,
4,"C.P. CERRO LUNAR",0,5,0,5,,,
5,"SAN RAFAEL",0,1,3,4,,,
6,"JOSE D. CHOQUEHUANCA",2,2,0,4,,,
7,"LA OROYA",0,2,1,3,,,
8,"COAZA",0,1,1,2,,,
9,"LA RAYA",0,2,0,2,,,
10,"C.P. HILATA",0,1,0,1,,,
11,"SAN MIGUEL DE PAMPA GRANDE",0,1,0,1,,,
12,"CUPISAYA",0,1,0,1,,,
13,"AZANGARO(CANCELADA)",1,0,0,1,,,
14,"C.P. PUERTO Y MANOA",0,1,0,1,,,
15,"CRUCERO ALTO",0,1,0,1,,,
16,"MINA SAN RAFAEL",0,1,0,1,,,
17,"RUTA CANCELADA",1,0,0,1,,,
18,"SIN ESPECIFICAR",0,1,0,1,,,
19,"C.P. CAXILE",0,1,0,1,,,
20,"DEAGUADERO",0,1,0,1,,,
21,"QUEJON",0,1,0,1,,,
22,"YUNGUYO(PROCESO CANCELACION)",0,1,0,1,,,
23,"MACHAMARCA",0,1,0,1,,,
24,"C.P. HILATA PATASCACHI",0,1,0,1,,,
25,"KUNURANA ALTO",0,1,0,1,,,
26,"JULIACA(CANCELADO)",1,0,0,1,,,
27,"DESAGUADERO(CANCELADO)",0,1,0,1,,,
28,"YUNGUYO(CANCELADO)",0,1,0,1,,,
29,"PIZACOMA",0,1,0,1,,,
30,"JULIACA(RENUNCIA RUTA02 0947-2025)",1,0,0,1,,,
31,"SAN ANTONIO PUTINA",0,1,0,1,,,
